"Blazing Star";"Onihyde";"1775980";"http://img369.imageshack.us/img369/5115/blazing6de.jpg";"(stage 3 - boss)";","
"Blazing Star";"ixindamix";"1739780";"";"(stage 4)";","
"Blazing Star";"juanito1979";"1547140";"http://img172.imageshack.us/img172/5159/picture081gw3.jpg";"(stage 3)";","
"Blazing Star";"Mpower";"1511670";"http://valou.ludo.free.fr/NEO/Blazing2.JPG";"(stage 3 - boss)";","
"Blazing Star";"luke2fr";"1459130";"http://img267.imageshack.us/img267/407/scorelukblazingxu2.jpg";"(stage 3)";","
"Blazing Star";"NeoJin";"1310430";"http://img191.imageshack.us/img191/2849/blazingscore.jpg";"(stage 3 - boss)";","
"Blazing Star";"gege4";"1027460";"http://img252.imageshack.us/img252/2281/p1030272.jpg";"(stage 3)";","
"Blazing Star";"amobile";"946990";"";"(stage 3)";","
"Blazing Star";"Tormento";"662780";"http://img416.imageshack.us/img416/5513/hiscores0155zo.jpg";"(stage 2 - boss)";","
"Blazing Star";"aescdmvs";"580830";"";"(stage 3)";","
"Blazing Star";"fabaway";"503440";"";"(stage 2 - boss)"

"Cyber-Lip";"Twilight_Guardian";"367700";"http://img6.imageshack.us/img6/1884/img03432.jpg";"(all clear)";","
"Cyber-Lip";"luke2fr";"43300";"http://img687.imageshack.us/img687/1902/imgp0421f.jpg";"(stage 3)"

"Eightman";"juanito1979";"266300";"http://img163.imageshack.us/img163/548/eightmanscore.jpg";"(all clear)";","
"Eightman";"tomil";"230400";"http://img845.imageshack.us/img845/4663/photo000i.jpg";"(all clear)";","
"Eightman";"Twilight_Guardian";"162200";"http://img40.imageshack.us/img40/503/img03492.jpg";"(stage 4-2)";","
"Eightman";"Thestrokes";"118900";"http://isthisit.free.fr/The%20Strokes%20(JUL)%20Eightman%20(118900).jpg";"(stage 4-1)";","
"Eightman";"Onihyde";"116700";"http://img101.imageshack.us/img101/1962/dscn3585ps7.jpg";"(stage 3-4)";","
"Eightman";"7SOUNA";"78300";"";"(stage 3-2)";","
"Eightman";"aescdmvs";"73500";"";"(stage 3-2)";","
"Eightman";"Fartaz";"54900";"";"(stage 3-1)"

"Fatal Fury Special";"Tarma";"759600";"http://img412.imageshack.us/img412/9919/ffsld.jpg";"(All clear - Geese)";","
"Fatal Fury Special";"Fartaz";"519700";"http://valou.ludo.free.fr/Fartaz/scores/ffs.jpg";"(All clear - Terry)";","
"Fatal Fury Special";"kurush75";"212300";"http://img594.imageshack.us/img594/7139/garouspecial001ff.jpg";"(Stage 6 - Terry)";","
"Fatal Fury Special";"anzymus";"181200";"http://img534.imageshack.us/img534/4482/img1196f.jpg";"(Stage ? - Kim)";","
"Fatal Fury Special";"Redemslug";"139300";"http://img809.imageshack.us/img809/111/ffss.jpg";"(Stage 6 - Big Bear)"

"Ghost Pilots";"Twilight_Guardian";"1467000";"http://img13.imageshack.us/img13/585/img99422.jpg";"(Stage 6)";","
"Ghost Pilots";"Redemslug";"746600";"http://img189.imageshack.us/img189/7320/ghostpilots.jpg";"(Stage 4)";","
"Ghost Pilots";"Onihyde";"740000";"http://img88.imageshack.us/img88/4145/imag0325v.jpg";"(Stage 4)";","
"Ghost Pilots";"chacha";"611500";"http://cha.voila.net/conneries/SAM_0919.JPG";"(Stage 4)";","
"Ghost Pilots";"anzymus";"387200";"http://img221.imageshack.us/img221/9563/img1166y.jpg";"(Stage 2)";","
"Ghost Pilots";"NeoBob";"319500";"http://nsa25.casimages.com/img/2011/03/02//110302115349689035.jpg";"(Stage 2)"

"The King of Fighters '98: The Slugfest";"atomikwave";"861600";"http://img134.imageshack.us/img134/3159/dsc03010ad2.jpg";"(all clear)";","
"The King of Fighters '98: The Slugfest";"Tristan";"432200";"http://img177.imageshack.us/img177/7271/dsc00832hy2.jpg";"(all clear)";","
"The King of Fighters '98: The Slugfest";"juanito1979";"413900";"";"(all clear)";","
"The King of Fighters '98: The Slugfest";"Raphoon";"408300";"";"(all clear)";","
"The King of Fighters '98: The Slugfest";"Fartaz";"401400";"http://valou.ludo.free.fr/Fartaz/scores/kof98-a.jpg";"(all clear)";","
"The King of Fighters '98: The Slugfest";"laurab4369";"377100";"http://img366.imageshack.us/img366/1843/img0190ha6.jpg";"(all clear)";","
"The King of Fighters '98: The Slugfest";"tizoc";"336600";"";"(rugal)";","
"The King of Fighters '98: The Slugfest";"C.C. Lemon";"308600";"";"(rugal)";","
"The King of Fighters '98: The Slugfest";"nyx93";"302700";"http://i21.servimg.com/u/f21/15/81/39/76/kof98_10.jpg";"(rugal)";","
"The King of Fighters '98: The Slugfest";"DokTor";"272000";"http://doktoj.free.fr/score/scorek98_272000petit.jpg";"(rugal)";","
"The King of Fighters '98: The Slugfest";"birdy";"243000";"http://img293.imageshack.us/img293/9207/dscf0085lj2.jpg";"(rugal)";","
"The King of Fighters '98: The Slugfest";"amano jyaku";"233300";"";"(rugal)"

"Last Resort";"kvirgule";"561100";"http://img151.imageshack.us/img151/3403/img3050sd4.jpg";"(all clear)";","
"Last Resort";"Neograboss";"249500";"";"(stage 5)";","
"Last Resort";"Twilight_Guardian";"230700";"http://img716.imageshack.us/img716/1460/img97342.jpg";"(stage 5)";","
"Last Resort";"Redemslug";"186400";"http://img195.imageshack.us/img195/9493/lastresortc.jpg";"(stage 4)";","
"Last Resort";"Mpower";"185400";"http://valou.ludo.free.fr/NEO/Last_4.JPG";"(stage 4)";","
"Last Resort";"gege4";"177700";"";"(stage 4)";","
"Last Resort";"aescdmvs";"167300";"http://i44.tinypic.com/ay54ox.jpg";"(stage 4)";","
"Last Resort";"Fartaz";"165300";"";"(stage 3)";","
"Last Resort";"nekwe";"139800";"http://img834.imageshack.us/img834/5563/wp000011.jpg";"(stage 4)";","
"Last Resort";"NeoBob";"128800";"http://nsa11.casimages.com/img/2010/01/07//100107085428577897.jpg";"(stage 3)";","
"Last Resort";"PowerMarcel";"120100";"http://img237.imageshack.us/img237/5575/im000673cz0.jpg";"(stage 3)"

"Metal Slug: Super Vehicle-001";"Auber1083";"2620740";"";"(all clear)";","
"Metal Slug: Super Vehicle-001";"catharsis";"2294740";"http://img141.imageshack.us/img141/424/img00271nj0.jpg";"(stage 5)";","
"Metal Slug: Super Vehicle-001";"capo";"1336570";"http://img250.imageshack.us/img250/2326/slug1bsb1.jpg";"(all clear)";","
"Metal Slug: Super Vehicle-001";"Cho Aniki";"1164150";"http://img130.imageshack.us/img130/977/metalslug16uo.jpg";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"michel";"1003750";"http://img27.imageshack.us/img27/6338/dsc00113jj.jpg";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"pie";"935060";"http://img369.imageshack.us/img369/7526/p91301226hx.jpg";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"NeoBob";"895030";"http://nsa10.casimages.com/img/2009/11/28//091128080657619243.jpg";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"Mpower";"894600";"http://valou.ludo.free.fr/NEO/Slug1_5.JPG";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"NeoJin";"705740";"http://img35.imageshack.us/img35/2301/scoremslug.jpg";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"Fartaz";"652020";"";"(stage 6)";","
"Metal Slug: Super Vehicle-001";"C.C. Lemon";"620390";"";"(stage 5)";","
"Metal Slug: Super Vehicle-001";"7SOUNA";"593080";"http://img213.imageshack.us/img213/2363/imgp19892lz.jpg";"(stage 5)";","
"Metal Slug: Super Vehicle-001";"Sheeew";"538360";"";"(stage 4)";","
"Metal Slug: Super Vehicle-001";"Ryo Sakazaki";"505500";"";"(stage 5)";","
"Metal Slug: Super Vehicle-001";"luke2fr";"496530";"http://img166.imageshack.us/img166/4416/scorelukms1iq4.jpg";"(stage 3)";","
"Metal Slug: Super Vehicle-001";"birdy";"384670";"http://img28.imageshack.us/img28/2728/p1020763x.jpg";"(stage 3)";","
"Metal Slug: Super Vehicle-001";"saoullabit";"258500";"";"(stage ?)";","
"Metal Slug: Super Vehicle-001";"manjimaru22";"224390";"(stage 3)";","
"Metal Slug: Super Vehicle-001";"aescdmvs";"222880";"";"(stage 3)";","
"Metal Slug: Super Vehicle-001";"fabaway";"198770";"";"(stage 2)"

"Metal Slug X: Super Vehicle-001";"Auber1083";"5882120";"";"(all clear)";","
"Metal Slug X: Super Vehicle-001";"capo";"4651970";"http://img123.imageshack.us/img123/8373/slugxallclearmi5.jpg";"(all clear)";","
"Metal Slug X: Super Vehicle-001";"Twilight_Guardian";"4149990";"http://img713.imageshack.us/img713/3637/img04122.jpg";"(stage 6)";","
"Metal Slug X: Super Vehicle-001";"NeoBob";"3952910";"http://nsa14.casimages.com/img/2010/05/05//10050508354423744.jpg";"(stage 6)";","
"Metal Slug X: Super Vehicle-001";"yori";"3419680";"";"(stage 6)";","
"Metal Slug X: Super Vehicle-001";"Fernandeath";"3060180";"http://img430.imageshack.us/img430/9228/ms11xw5.jpg";"(stage 4)";","
"Metal Slug X: Super Vehicle-001";"Onihyde";"2614730";"http://img297.imageshack.us/img297/3963/dscn05810lq.jpg";"(stage 5)";","
"Metal Slug X: Super Vehicle-001";"rotorvator";"2354760";"";"(stage 4)";","
"Metal Slug X: Super Vehicle-001";"7SOUNA";"2279750";"";"(stage 5)";","
"Metal Slug X: Super Vehicle-001";"Mpower";"2240350";"http://valou.ludo.free.fr/NEO/SlugX5.JPG";"(stage 4)";","
"Metal Slug X: Super Vehicle-001";"kamui-san";"1953650";"http://img580.imageshack.us/img580/4628/dsc00467o.jpg";"(stage 3)";","
"Metal Slug X: Super Vehicle-001";"batman";"1819660";"http://img844.imageshack.us/img844/6205/imgp0810z.jpg";"(stage 5)";","
"Metal Slug X: Super Vehicle-001";"Fartaz";"1764820";"";"(stage 3)";","
"Metal Slug X: Super Vehicle-001";"Charles";"1729980";"";"(stage 3)";","
"Metal Slug X: Super Vehicle-001";"Takou";"1530770";"http://svcchaos.free.fr/Neo/Hi-Scores/Hi-Score_MetalSlugX_E.JPG";"(stage 3)";","
"Metal Slug X: Super Vehicle-001";"chacha";"1337350";"http://cha.voila.net/conneries/MSX_1_337_350_.jpg";"(stage 3)"

"Mutation Nation";"fafa41";"1100500";"http://img4.hostingpics.net/pics/696816IMG0106.jpg";"(stage 6)";","
"Mutation Nation";"shupmaster";"1063700";"http://img401.imageshack.us/img401/3033/p1000105hf0.jpg";"(stage 6)";","
"Mutation Nation";"Neograboss";"482800";"http://img217.imageshack.us/img217/6765/mn0066lg.jpg";"(stage 4)";","
"Mutation Nation";"Onihyde";"314400";"http://img233.imageshack.us/img233/7561/imag0428.jpg";"(stage 3)";","
"Mutation Nation";"Fartaz";"235900";"";"(stage 3)";","
"Mutation Nation";"kurush75";"148400";"http://img835.imageshack.us/img835/5264/mutation.jpg";"(stage 2 - boss)";","
"Mutation Nation";"anzymus";"112800";"http://img135.imageshack.us/img135/197/img1204mw.jpg";"(stage 2)"

"Neo Turf Masters / Big Tournament Golf";"juanito1979";"-14";"";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"Redemslug";"-13";"http://img7.imageshack.us/img7/6697/dscn2176w.jpg";"(Fujiyama - Japan)";","
"Neo Turf Masters / Big Tournament Golf";"NeoBob";"-12";"http://nsa14.casimages.com/img/2010/06/05//10060501010194409.jpg";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"fafa41";"-12";"http://img4.hostingpics.net/pics/157309IMG00025201012282129.jpg";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"pitufo";"-11";"";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"Mpower";"-11";"http://valou.ludo.free.fr/NEO/NTM_1.JPG";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"Reyko";"-8";"http://img412.imageshack.us/img412/2733/btg0ml.jpg";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"krishnou";"-8";"http://img829.imageshack.us/img829/7391/dsc00369rv.jpg";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"Fartaz";"-6";"";"(Seaside - Australia)";","
"Neo Turf Masters / Big Tournament Golf";"chacha";"-3";"http://cha.voila.net/conneries/NTM_3_.jpg";"(Seaside - Australia)"

"Pulstar";"kvirgule";"1030580";"http://img403.imageshack.us/img403/8844/img0128uz4.jpg";"(all clear en level 8 !)";","
"Pulstar";"chacha";"550180";"http://cha.voila.net/conneries/PULSTAR_550_180_.jpg","(stage 5)";","
"Pulstar";"juanito1979";"497980";"";"(stage 5)";","
"Pulstar";"Raphoon";"359290";"";"(stage 4 - boss)";","
"Pulstar";"NeoBob";"247710";"http://nsa15.casimages.com/img/2010/07/04//100704065301526847.jpg";"(stage 3)";","
"Pulstar";"Mpower";"234620";"http://valou.ludo.free.fr/NEO/Pulstar.JPG";"(stage 3)";","
"Pulstar";"luke2fr";"189830";"http://img513.imageshack.us/img513/6594/scorelukpulstar.jpg";"(stage 2)";","
"Pulstar";"aescdmvs";"170990";"";"(stage 2 - boss)";","
"Pulstar";"Debadeu";"124190";"http://perso.wanadoo.fr/manuel-neogeo/Hi-Scores/Pulstar.JPG";"(stage 2)"

"Robo Army";"Twilight_Guardian";"86900";"http://img820.imageshack.us/img820/584/img04822.jpg";"(stage 5 - boss)";","
"Robo Army";"just";"76900";"http://img232.imageshack.us/img232/8680/003hob.jpg";"(stage 5)";","
"Robo Army";"juanito1979";"39800";"http://img25.imageshack.us/img25/5374/picture121oh5.jpg";"(stage 3)";","
"Robo Army";"kurush75";"32900";"http://img821.imageshack.us/img821/4363/roboarmy.jpg";"(stage 3)";","
